Comments,Label
وظیفه شکر رخصت و فانتون هم عصر  ایند فیلینگ چهار پلاق افتر سپورت   ,1
"امی لحظه خبر خوش رسید 
که دانشگاه رخصت است   ",1
به اولاد های ننم رسیدگی میکنم..  ,1
"امی لحظه خبر خوش رسید 
که دانشگاه رخصت است   ",1
وظیفه رفتم ,1
پوهنتون میرم ,1
کش طرف پوهنتون,1
"اوه شکر شنبه آمد اینجا شکر رخصتی اس
شنبه یکشنبه     ",1
اوخدایمه امروز شنبه است به به سپورت  داریم امروز در ضمن یک مضمون ما استاد نداره چی حالی میده ساعت های خالی  ,1
خداوند مریضا را شفا عاجل بدهد,1
خدا برت شفاه عاجل بدهد خيلي مريضي تو زور است  ,1
"بسم الله الرحمن الرحیم 
انشالله که صحتت خوب شوه به زودی...  ",1
بسیار زیاد در غلط فهمی است که دخترها بخاطری شما لباس زیبا میپوشد دخترها بخاطری خود شان هم لباس زیبا میپوشد هم ارایش میکند,1
خوش هم هستی دیگه یک پست با معنا ماندی      ,1
اخلاق و حیا جز ایمان است .,1
به نظر مه هر چیز باید  داخل چوکات باشه بهتر   همتو شوخی و مزاق هم,1
100% درست گفتی مگم ده امو آخرش یک ذره زیاده روی کدی,1
خداوند مریضا را شفا عاجل بدهد,1
وی خدا جان چقه به خود تان خوش هستن توبه ما بخاطری شیک بودن خود ما مپوشم      ,1
خوده زیاد مهم احساس کدی ولا,1
بيخي گپ لوکس زدي ولا   ,1
"طرفدار هم داره  
#حنفی",1
تبریک,1
"تبریک به خودم 
    ",1
تبریک باشه,1
تبریک,1
تبریک ,1
ممنون تشکر از شما,1
تشکرات,1
تبریک,1
ممنون  ,1
تشکر,1
تشکر,1
"امتحان کردیم
صد در صد همین طوره",1
واقعا عالی,1
یک مدت نو باشه اما اولی خوب تر است,1
اولی خوبش بود,1
اولی خوبست ,1
اولی خوبش است,1
بگروند خودت خوبش است,1
اولی بهتره کمی تغییرات باشه که خسته کن نشه,1
اولی روشن است یعنی بهتر,1
همی طریقه دست قید کردنش خوشم آمد یک تخنیک دگه هم اضافه شد    ,1
هههههه خوبش کرد,1
هه بلی ضرورت دارم ... اما  به ساعتها و روزها چشم انتظار جوابشام میباشم  ,1
بلی مه. ضرورت دارم اما هیچ نیست شکر به هر کس مسج میکنم ۱۶ دقیقه بعد جواب میته,1
دارم شکر  ,1
دارم شکر  ,1
بلی ها بسیار زیاد  ,1
دارم کلشان همتو استن,1
۱۰ ثانیه هم زیاد است,1
فضل خدا كه ايتو يك گپ نيست  ,1
